full_name,owner_type,stargazers_count,followers_count
ahmedmaawy/3FS,Organization,0,1
iamazy/3FS,User,0,186
jt-zhang/3FS,User,1,100
61616176/3FS,User,0,0
hongboshi1234/3FS,User,0,0
caden1225/3FS,User,0,4
mraipsec-mra/3FS,User,0,0
ibm-t40/3FS,User,0,0
rodolf0/3FS,User,0,50
accelazh/3FS,User,0,69
owenservera/3FS-OpenScroll,User,0,0
willgitons/3FS,User,0,0
gaorufeng/3FS,User,0,11
zenithon/3fs,User,0,11
Sl0hly/3fs,User,0,0
chxymeyer/3FS,User,0,0
nssalian/3FS,User,0,43
hubayirp/3FS,User,0,8
fantasist/3FS,User,0,7
axon42/3FS,User,0,0
kirkryan/3fs,User,0,0
shaneholloman/3fs,User,0,30
mainsail44/3fs,User,0,0
wchch1010/3FS,User,0,6
rogeryu-ap/3FS,User,0,0
yexiangyu/3FS,User,0,3
QilinGu/3FS,User,0,48
syntax-syndicate/3FS,Organization,0,2
dentiny/3FS,User,0,54
QueTeddy/3FS,User,0,2
mrjdomingus/3FS,User,0,1
shannonman/3FS,User,0,0
bigdatasciencegroup/deepseek-3FS,Organization,0,60
mz0in/3FS,User,0,0
Thireus/3FS,User,0,19
dhaliwalsinghmanpreet/3FS,User,0,0
wadidf/3FS,User,0,3
lupuszr/3FS,User,0,12
Fraxadel/3FS,User,0,1
Cryptonomikhan/3FS,User,0,8
2elite2/3FS,User,0,0
qwangem/deepseek_3fs,User,0,0
NPattanaik1/3FS,User,0,13
kellybrianx/3FSog,User,0,1
ahuachen/3FS,User,0,6
yuyuyu101/3FS,User,0,409
Malone-AI/3FS,User,0,3
xiaochen-zhou/3FS,User,0,4
behzad-amini/3FS,User,0,0
saadqbal/3fs,User,0,23
fridayily/3FS,User,0,1
lihqi/3FS,User,0,17
A-Corner/3FS,User,0,1
rongsoft/3FS,User,0,0
Clcanny/3FS,User,0,15
wudaClark/3FS,User,0,0
mbrukman/3FS,User,0,324
k00000000/3FS,User,0,0
bingbingbb/3FS,User,0,0
xueminghui/3FS,User,0,1
ehzawad/3FS,User,0,30
huyq119/3FS,User,0,2
strogo/3FS,User,0,42
bcncpp/3FS,User,0,0
LewisMing1/3FS,User,0,0
LiAnqian/3FS,User,0,4
lilozhao/3FS,User,0,0
gua-pian/3FS,User,0,5
codeaudit/3FS,User,0,40
RobertoMalatesta/3FS,User,0,25
int-fanle/3FS,User,0,0
huxiang088/3FS,User,0,0
sunxiaojian/3FS,User,0,20
lmneko/3FS,User,0,2
01Hub/3FS,User,0,1
ScienceArtist/3FS,User,0,1
youthliuxi/3FS,User,0,7
jamestiotio/3FS,User,0,308
user025/3FS,User,0,1
CosmosHWPG/My3FS,User,0,0
MajorDream444/3fs,User,0,8
zjdyzww/3FS,User,0,30
Jibbscript/3FS,User,0,25
ajunlonglive/3FS,User,0,67
izxl007/3FS,User,0,0
reframeFRMWRK/3fs,User,0,0
DEVcungAI/3FS,User,0,1
nonomal/deepseek-3FS,User,0,0
getong/3FS,User,0,49
wu-hanqing/3FS,User,0,30
bababababamulovedrink/3FS,User,0,1
m-deepankar-singh/3FS,User,0,1
chinpeng/3FS,User,0,10
noticeable/3FS,User,0,25
joydo/3FS,User,0,72
wushanru/3FS,User,0,5
chunhui-shi/3FS,User,0,23
Dakoro/3FS,User,0,3
niyamaka/3FS,User,0,3
ShannonBase/3FS,User,0,2
Arthur-CWW/3FS,User,0,4
Tim-luo/3FS,User,0,4
448-OG/3FS,User,0,11
B3DDD/3FS,User,0,2
deadpool69696969/3FS,User,0,3
LeiZhang-Hunter/3FS,User,0,16
SanZenSeiKai/3FS,User,0,0
bryanpaget/3FS,User,0,24
asdwsj2012/3FS,User,0,0
mrtalhjl/3FS,User,0,2
lindadamama/3FS,User,0,0
abd-debug/deepseek-3FS,User,0,2
vihttpd/3FS,User,0,0
gaohuazhipython/3FS,User,0,0
mrjzz/3FS,User,0,7
dasarishiv/Deepseek-a-3FS,User,0,5
boxiu/DeepSeek-3FS,User,0,2
YvanKOB/3FS,User,0,31
throwoutofcoffeeexception/3FS,User,0,0
yinhanyan/3FS,User,0,43
simuler/3FS,User,0,2
2045matrix/3FS,User,0,10
SuperReasoning/3FS,Organization,0,0
chrajeshbabu/3FS,User,1,22
linnetfire/3FS,User,0,4
Truong1995-svg/3FS,User,0,0
kvnyu24/3FS,User,0,57
definite-app/3FS,Organization,0,6
ramamet/3FS,User,0,46
Wenhui-Ray/3FS,User,0,0
metroncorp/3FS,Organization,0,0
eltociear/3FS,User,0,0
standardgalactic/3FS,User,1,5413
leehori19/3FS,User,0,2
greybeam/3FS,Organization,0,3
Vincex0/3FS,User,0,7
mohakrajendra/3FS,User,0,0
kamikariat/3FS,User,0,14
webclinic017/3FS,User,0,283
muhammedsiyadp/3FS,User,0,6
evelynmitchell/3FS,User,0,258
deedy/3FS,User,0,1722
yashch22/3FS,User,0,1
bugkill3r/3FS,User,0,2
MekongDelta-mind/3FS,User,0,18
codylib/3FS,User,0,3
vaghniku/Deepseek-3FS,User,0,0
sunnyc7/3fs,User,0,48
dotnwat/3FS,User,0,177
kumareshsingh/3FS,User,0,2
AvanAvi/3FS,User,0,3
sn34kyp3t3/3FS,User,0,3
iyekuchu/3FS,User,0,1
kendu3310/3FS,User,0,11
chenhao-ye/3FS,User,0,139
duchao/3FS,User,0,7
rvencu/3FS,User,0,147
bkmalan/3FS,User,0,13
jurjsorinliviu/3FS,User,0,21
edwardlau/3FS,User,0,9
fencerfan/3FS,User,0,5
jeromeku/3FS,User,0,66
opendeepinfra/3FS,Organization,0,0
agufagit/3FS,User,0,0
FellowTraveler/3FS,User,0,212
Cod1ngNinja/3FS,User,0,1
drk1rd/3FS,User,0,20
Coney97/DEEPSEEK-3FS-BP,User,1,0
tuantx7110/3FS,User,0,3
aashutoshjha1/3FS,User,0,5
iskills/3FS,User,0,0
LoveEachDay/3FS,User,0,4
andyli029/3FS,User,0,18
sheremetyev/3FS,User,0,30
cc6dll/3FS,User,0,1
manojcchoudhary/3FS,User,0,1
zhouji1993/3FS,User,0,1
baijiaruo1/3FS,User,0,0
Theodb/3FS,User,0,1
nickweiminhan/3FS,User,1,4
soudia/3FS,User,0,4
De30/3FS,User,0,2
dorucioclea/3FS,User,1,251
takewiki/3FS,User,0,12
zhiyiyu/3FS,User,0,9
xiaoliwe/3FS,User,0,25
maxiaoxifeng/3FS,User,0,4
joe2hpimn/3FS,User,0,59
aisfx/3FS,User,0,0
Y3454R/3FS,User,0,86
everypidigit/3FS-fork,User,0,13
stparuchuri/3FS,User,0,5
RainWww/3FS,User,0,0
YichuanSun/3FS,User,0,15
endlessc/3FS,User,0,9
