month,repo_id,repo_name,openrank
2015-01-01,2489216,JetBrains/intellij-community,1.1744045
2015-02-01,2489216,JetBrains/intellij-community,4.486029
2015-03-01,2489216,JetBrains/intellij-community,5.2156644
2015-04-01,2489216,JetBrains/intellij-community,3.751445
2015-05-01,2489216,JetBrains/intellij-community,4.520286
2015-06-01,2489216,JetBrains/intellij-community,3.5536325
2015-07-01,2489216,JetBrains/intellij-community,5.556769
2015-08-01,2489216,JetBrains/intellij-community,4.3326797
2015-09-01,2489216,JetBrains/intellij-community,5.833024
2015-10-01,2489216,JetBrains/intellij-community,8.546933
2015-11-01,2489216,JetBrains/intellij-community,7.385475
2015-12-01,2489216,JetBrains/intellij-community,7.765392
2016-01-01,2489216,JetBrains/intellij-community,5.4888325
2016-02-01,2489216,JetBrains/intellij-community,5.882455
2016-03-01,2489216,JetBrains/intellij-community,8.991259
2016-04-01,2489216,JetBrains/intellij-community,9.62701
2016-05-01,2489216,JetBrains/intellij-community,8.9503
2016-06-01,2489216,JetBrains/intellij-community,9.4923115
2016-07-01,2489216,JetBrains/intellij-community,11.292148
2016-08-01,2489216,JetBrains/intellij-community,9.8732
2016-09-01,2489216,JetBrains/intellij-community,9.24927
2016-10-01,2489216,JetBrains/intellij-community,7.9460287
2016-11-01,2489216,JetBrains/intellij-community,8.399292
2016-12-01,2489216,JetBrains/intellij-community,9.294006
2017-01-01,2489216,JetBrains/intellij-community,9.58859
2017-02-01,2489216,JetBrains/intellij-community,7.6049933
2017-03-01,2489216,JetBrains/intellij-community,9.676682
2017-04-01,2489216,JetBrains/intellij-community,14.055351
2017-05-01,2489216,JetBrains/intellij-community,12.627239
2017-06-01,2489216,JetBrains/intellij-community,14.209762
2017-07-01,2489216,JetBrains/intellij-community,9.756195
2017-08-01,2489216,JetBrains/intellij-community,12.901474
2017-09-01,2489216,JetBrains/intellij-community,13.181558
2017-10-01,2489216,JetBrains/intellij-community,14.821464
2017-11-01,2489216,JetBrains/intellij-community,13.290024
2017-12-01,2489216,JetBrains/intellij-community,14.553686
2018-01-01,2489216,JetBrains/intellij-community,18.323566
2018-02-01,2489216,JetBrains/intellij-community,18.77785
2018-03-01,2489216,JetBrains/intellij-community,21.824144
2018-04-01,2489216,JetBrains/intellij-community,17.313614
2018-05-01,2489216,JetBrains/intellij-community,9.796663
2018-06-01,2489216,JetBrains/intellij-community,18.153223
2018-07-01,2489216,JetBrains/intellij-community,23.79521
2018-08-01,2489216,JetBrains/intellij-community,13.678367
2018-09-01,2489216,JetBrains/intellij-community,16.673817
2018-10-01,2489216,JetBrains/intellij-community,18.395826
2018-11-01,2489216,JetBrains/intellij-community,18.409521
2018-12-01,2489216,JetBrains/intellij-community,18.495943
2019-01-01,2489216,JetBrains/intellij-community,13.008765
2019-02-01,2489216,JetBrains/intellij-community,12.682226
2019-03-01,2489216,JetBrains/intellij-community,19.183947
2019-04-01,2489216,JetBrains/intellij-community,16.212233
2019-05-01,2489216,JetBrains/intellij-community,16.778162
2019-06-01,2489216,JetBrains/intellij-community,16.16776
2019-07-01,2489216,JetBrains/intellij-community,13.58946
2019-08-01,2489216,JetBrains/intellij-community,9.397652
2019-09-01,2489216,JetBrains/intellij-community,10.7072
2019-10-01,2489216,JetBrains/intellij-community,15.483133
2019-11-01,2489216,JetBrains/intellij-community,19.426462
2019-12-01,2489216,JetBrains/intellij-community,16.986752
2020-01-01,2489216,JetBrains/intellij-community,14.805288
2020-02-01,2489216,JetBrains/intellij-community,11.843632
2020-03-01,2489216,JetBrains/intellij-community,12.9207535
2020-04-01,2489216,JetBrains/intellij-community,11.144452
2020-05-01,2489216,JetBrains/intellij-community,14.815089
2020-06-01,2489216,JetBrains/intellij-community,10.530874
2020-07-01,2489216,JetBrains/intellij-community,12.666441
2020-08-01,2489216,JetBrains/intellij-community,10.244556
2020-09-01,2489216,JetBrains/intellij-community,9.060417
2020-10-01,2489216,JetBrains/intellij-community,9.948575
2020-11-01,2489216,JetBrains/intellij-community,12.631077
2020-12-01,2489216,JetBrains/intellij-community,12.724225
2021-01-01,2489216,JetBrains/intellij-community,11.195327
2021-02-01,2489216,JetBrains/intellij-community,10.384716
2021-03-01,2489216,JetBrains/intellij-community,11.200242
