_id,id,likes,private,downloads,tags,pipeline_tag,library_name,createdAt,modelId
66bfbb1a43a701a837a745ac,microsoft/Phi-3.5-mini-instruct,852,False,316623,"['transformers', 'safetensors', 'phi3', 'text-generation', 'nlp', 'code', 'conversational', 'custom_code', 'multilingual', 'arxiv:2404.14219', 'arxiv:2407.13833', 'arxiv:2403.06412', 'license:mit', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",text-generation,transformers,2024-08-16T20:48:26.000Z,microsoft/Phi-3.5-mini-instruct
64ad19423b0219010e1d216c,meta-llama/Llama-2-70b-hf,849,False,37805,"['transformers', 'pytorch', 'safetensors', 'llama', 'text-generation', 'facebook', 'meta', 'llama-2', 'en', 'arxiv:2307.09288', 'license:llama2', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",text-generation,transformers,2023-07-11T08:56:34.000Z,meta-llama/Llama-2-70b-hf
653ec25781277ed9683d246f,teknium/OpenHermes-2.5-Mistral-7B,839,False,229105,"['transformers', 'pytorch', 'safetensors', 'mistral', 'text-generation', 'instruct', 'finetune', 'chatml', 'gpt4', 'synthetic data', 'distillation', 'conversational', 'en', 'dataset:teknium/OpenHermes-2.5', 'base_model:mistralai/Mistral-7B-v0.1', 'base_model:finetune:mistralai/Mistral-7B-v0.1', 'license:apache-2.0', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",text-generation,transformers,2023-10-29T20:36:39.000Z,teknium/OpenHermes-2.5-Mistral-7B
64881f0445a9218318de4a23,baichuan-inc/Baichuan-7B,838,False,14975,"['transformers', 'pytorch', 'baichuan', 'text-generation', 'custom_code', 'zh', 'en', 'arxiv:1910.07467', 'arxiv:2009.03300', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",text-generation,transformers,2023-06-13T07:47:16.000Z,baichuan-inc/Baichuan-7B
6795ffcd88cd7c0294702a72,Qwen/Qwen2.5-VL-7B-Instruct,836,False,2416868,"['transformers', 'safetensors', 'qwen2_5_vl', 'image-text-to-text', 'multimodal', 'conversational', 'en', 'arxiv:2309.00071', 'arxiv:2409.12191', 'arxiv:2308.12966', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'region:us']",image-text-to-text,transformers,2025-01-26T09:26:37.000Z,Qwen/Qwen2.5-VL-7B-Instruct
66901a03c961f5d23fe157b4,apple/DCLM-7B,833,False,629,"['transformers', 'safetensors', 'openlm', 'arxiv:2406.11794', 'license:apple-ascl', 'endpoints_compatible', 'region:us']",,transformers,2024-07-11T17:44:35.000Z,apple/DCLM-7B
645437c6ce1cc3ed5fe548d3,mosaicml/mpt-7b-storywriter,831,False,1098,"['transformers', 'pytorch', 'mpt', 'text-generation', 'Composer', 'MosaicML', 'llm-foundry', 'custom_code', 'dataset:the_pile_books3', 'arxiv:2108.12409', 'arxiv:2205.14135', 'arxiv:2302.06675', 'license:apache-2.0', 'autotrain_compatible', 'text-generation-inference', 'region:us']",text-generation,transformers,2023-05-04T22:55:02.000Z,mosaicml/mpt-7b-storywriter
64ed11a5bae642629c5de3fd,Phind/Phind-CodeLlama-34B-v2,831,False,34377,"['transformers', 'pytorch', 'llama', 'text-generation', 'code llama', 'license:llama2', 'model-index', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",text-generation,transformers,2023-08-28T21:29:09.000Z,Phind/Phind-CodeLlama-34B-v2
63ee3c8d6349d1a6706771e6,TencentARC/T2I-Adapter,828,False,0,"['arxiv:2302.08453', 'region:us']",,,2023-02-16T14:24:13.000Z,TencentARC/T2I-Adapter
66a0e51a16c91392d42c263d,mistralai/Mistral-Large-Instruct-2407,827,False,7494,"['vllm', 'safetensors', 'mistral', 'en', 'fr', 'de', 'es', 'it', 'pt', 'zh', 'ja', 'ru', 'ko', 'license:other', 'region:us']",,vllm,2024-07-24T11:27:22.000Z,mistralai/Mistral-Large-Instruct-2407
6759799ed862e62a825b5413,answerdotai/ModernBERT-base,827,False,3352598,"['transformers', 'pytorch', 'onnx', 'safetensors', 'modernbert', 'fill-mask', 'masked-lm', 'long-context', 'en', 'arxiv:2412.13663', 'license:apache-2.0', 'autotrain_compatible', 'region:us']",fill-mask,transformers,2024-12-11T11:38:06.000Z,answerdotai/ModernBERT-base
67067ab9dc08442956a2d518,rain1011/pyramid-flow-sd3,825,False,0,"['diffusers', 'safetensors', 'image-to-video', 'sd3', 'text-to-video', 'arxiv:2410.05954', 'base_model:stabilityai/stable-diffusion-3-medium', 'base_model:finetune:stabilityai/stable-diffusion-3-medium', 'license:other', 'region:us']",text-to-video,diffusers,2024-10-09T12:44:41.000Z,rain1011/pyramid-flow-sd3
66abe4b6f91b4bb4e551da79,Kijai/flux-fp8,821,False,0,"['en', 'license:other', 'region:us']",,,2024-08-01T19:40:38.000Z,Kijai/flux-fp8
