repo_name,classification,openrank_25,created_at,stars,forks,language,repo_id,comparev1
spring-projects/spring-ai,Agent Framework,86,2023/6/27,6108,1695,Java,659402878,x
siyuan-note/siyuan,Knowledge Mangement,85,2020/8/30,35952,2229,TypeScript,291438522,x
apache/hudi,Unstructured Data Governance - Lake Format,85,2016/12/14,5869,2429,Java,76474200,Unstructured Data Governance - Lake Format
livekit/agents,Agent Framework,84,2023/10/19,6757,1070,Python,707441527,x
labring/FastGPT,Agent Framework - Workflow,83,2023/2/23,25132,6461,TypeScript,605673387,Agent Framework - Workflow
mastra-ai/mastra,Agent Framework,82,2024/8/6,15015,926,TypeScript,839037098,x
scikit-learn/scikit-learn,ML Library,82,2010/8/17,62653,26037,Python,843222,x
modelcontextprotocol/servers,API Management,80,2024/11/19,59643,6913,TypeScript,890668799,API Management
kvcache-ai/ktransformers,Inference Engine,80,2024/7/26,14625,1042,Python,833984877,Inference Engine
AI-Hypercomputer/maxtext,Training Platform,80,2023/2/28,1835,382,Python,607845880,x
PrefectHQ/prefect,Data Integration,80,2018/6/29,19780,1863,Python,139199684,Data Integration
wandb/wandb,MLOps,80,2017/3/24,10093,755,Python,86031674,MLOps
apache/gravitino,Unstructured Data Governance - Catalog,79,2023/4/23,1703,532,Java,631431061,Unstructured Data Governance - Catalog
apache/paimon,Unstructured Data Governance - Lake Format,78,2022/1/12,2885,1177,Java,447060287,Unstructured Data Governance - Lake Format
mannaandpoem/OpenManus,General Assistant,77,2025/3/6,48455,8485,Python,943934999,General Assistant
yetone/avante.nvim,AI Coding,77,2024/8/14,15111,668,Lua,842586148,x
iree-org/iree,AI Compiler,77,2019/9/12,3221,726,C++,208145128,x
marimo-team/marimo,AI Coding,76,2023/8/14,14359,591,Python,678526156,x
HumanSignal/label-studio,Data Labeling,74,2019/6/19,23258,2888,JavaScript,192640529,Data Labeling
langfuse/langfuse,LLMOps,73,2023/5/18,13716,1253,TypeScript,642497346,x
modular/modular,Inference Deploy,73,2023/4/28,24500,2661,Mojo,634043200,x
weaviate/weaviate,Vector Storage and Search,73,2016/3/30,13922,1001,Go,55072677,Vector Storage and Search
crewAIInc/crewAI,Agent Framework - SDK,72,2023/10/27,34245,4604,Python,710601088,Agent Framework - SDK
1Panel-dev/MaxKB,Agent Framework - Workflow,71,2023/9/14,17074,2216,Python,691347156,Agent Framework - Workflow
NVIDIA/cccl,AI Kernel Library,71,2020/9/17,1762,238,C++,296416761,x
rapidsai/cudf,AI Kernel Library,71,2017/5/7,9044,957,C++,90506918,x
opencv/opencv,Model Library,71,2012/7/19,83046,56215,C++,5108051,x
intel/intel-xpu-backend-for-triton,AI Kernel Library,70,2023/4/23,192,67,MLIR,631517165,x
camel-ai/camel,Agent Framework - SDK,70,2023/3/17,13361,1442,Python,615510678,Agent Framework - SDK
chroma-core/chroma,Vector Storage and Search,70,2022/10/5,21060,1684,Rust,546206616,Vector Storage and Search
ROCm/composable_kernel,AI Kernel Library,70,2021/7/27,437,209,C++,390032985,x
intel/ipex-llm,Inference Deploy,70,2016/8/29,8115,1359,Python,66823715,x
tensorflow/tensorflow,Training Platform,69,2015/11/7,190746,74754,C++,45717250,Pre-train
firebase/genkit,Agent Framework,68,2024/4/29,2576,318,TypeScript,793795224,x
1Panel-dev/1Panel,x,68,2022/7/19,29743,2589,Go,515647260,x
Azure/AgentBaker,x,68,2020/2/7,123,224,Go,239001792,x
delta-io/delta,Unstructured Data Governance - Lake Format,68,2019/4/22,8148,1873,Scala,182849188,Unstructured Data Governance - Lake Format
openai/openai-agents-python,Agent Framework - SDK,67,2025/3/11,12600,1941,Python,946380199,Agent Framework - SDK
xinnan-tech/xiaozhi-esp32-server,Chatbot,67,2025/2/2,5587,1919,Python,926087200,x
xorbitsai/inference,Inference Deploy,67,2023/6/14,8232,706,Python,653496050,Inference Deploy
huggingface/optimum-habana,x,67,2022/3/1,190,265,Python,464909502,x
Mintplex-Labs/anything-llm,Client Interface,66,2023/6/4,46553,4708,JavaScript,649170660,x
openxla/xla,AI Compiler,65,2022/8/9,3347,594,C++,523007292,AI Compiler
google-gemini/gemini-cli,Client Interface,64,2025/4/17,59642,5477,TypeScript,968197216,x
comet-ml/opik,LLMOps,64,2023/5/10,11282,776,Python,638951438,x
dagger/dagger,"Runtime, CI/CD",64,2019/11/20,14218,749,Go,222824662,x
