repository, subfield, field,openrank_2022,openrank_2023,openrank_2024
MonetDB/MonetDB,Columnar OLAP Database,STORAGE SYSTEMS,98,63.02,97.07
datafuselabs/databend,Columnar OLAP Database,STORAGE SYSTEMS,909.86,904.7,628.1
ByConity/ByConity,Columnar OLAP Database,STORAGE SYSTEMS,,303.39,305.87
hydradatabase/hydra,Columnar OLAP Database,STORAGE SYSTEMS,10.11,76.27,45.09
ClickHouse/ClickHouse,Real-time OLAP Engine,STORAGE SYSTEMS,3725.13,4220.45,3962.88
apache/pinot,Real-time OLAP Engine,STORAGE SYSTEMS,1118.13,1238.12,961.36
apache/druid,Real-time OLAP Engine,STORAGE SYSTEMS,938.83,1084.39,955.97
apache/kylin,Real-time OLAP Engine,STORAGE SYSTEMS,111.18,85.47,26.4
apache/doris,Real-time OLAP Engine,STORAGE SYSTEMS,2069.31,3860.91,3359.62
StarRocks/StarRocks,Real-time OLAP Engine,STORAGE SYSTEMS,,,
duckdb/duckdb,In-process OLAP Engine,STORAGE SYSTEMS,829.9,1024.43,1018.6
GlareDB/glaredb,In-process OLAP Engine,STORAGE SYSTEMS,,121.1,151.4
apache/datafusion,In-process OLAP Engine,STORAGE SYSTEMS,,,
chdb-io/chdb,In-process OLAP Engine,STORAGE SYSTEMS,,52.2,53.03
duckdb/pg_duckdb,OLAP Extensions,STORAGE SYSTEMS,,,54.68
paradedb/pg_analytics,OLAP Extensions,STORAGE SYSTEMS,,,25.1
apache/hadoop,Distributed File System,DATA LAKE PLATFORM,1111.23,1031.62,727.48
gluster/glusterfs,Distributed File System,DATA LAKE PLATFORM,510.74,210.86,87.6
juicedata/juicefs,Distributed File System,DATA LAKE PLATFORM,501.83,432.47,340.6
lustre,Lustre,Distributed File System,,,
apache/ozone,Distributed Object Store,DATA LAKE PLATFORM,949.42,1218.16,950.39
ceph/ceph,Distributed Object Store,DATA LAKE PLATFORM,3018.4,2846.05,2625.57
minio/minio,Distributed Object Store,DATA LAKE PLATFORM,716.9,683.68,596.65
deuxfleurs/garage,Distributed Object Store,DATA LAKE PLATFORM,,,
apache/parquet-format,Serialisation Framework,DATA LAKE PLATFORM,5.06,28.73,48.26
apache/avro,Serialisation Framework,DATA LAKE PLATFORM,212.14,155.58,131.11
apache/orc,Serialisation Framework,DATA LAKE PLATFORM,153.14,130.95,107.95
lancedb/lance,Serialisation Framework,DATA LAKE PLATFORM,49.03,245,338.07
spiraldb/vortex,Serialisation Framework,DATA LAKE PLATFORM,,,79.41
apache/hudi,Open Table Format,DATA LAKE PLATFORM,1828.44,1877.23,1059.39
apache/iceberg,Open Table Format,DATA LAKE PLATFORM,1485.28,1473.98,1113.45
delta-io/delta,Open Table Format,DATA LAKE PLATFORM,379.98,518.57,724.38
apache/incubator-paimon,Open Table Format,DATA LAKE PLATFORM,151.85,647.85,666.62
apache/incubator-xtable,Open Table Format,DATA LAKE PLATFORM,,18.61,147.9
linkedin/openhouse,Open Table Format,DATA LAKE PLATFORM,,,121.99
delta-io/delta-rs,Native Open Table Format Library,DATA LAKE PLATFORM,133.15,262.04,305.54
apache/iceberg-python,Native Open Table Format Library,DATA LAKE PLATFORM,,50.4,305.49
apache/hudi-rs,Native Open Table Format Library,DATA LAKE PLATFORM,,,32.6
airbytehq/airbyte,Data Integration Platform,DATA INTEGRATION,3701.33,4149.25,2838.08
apache/nifi,Data Integration Platform,DATA INTEGRATION,798.85,838.85,728.35
apache/camel,Data Integration Platform,DATA INTEGRATION,465.81,587.88,462.97
apache/gobblin,Data Integration Platform,DATA INTEGRATION,203.84,232.38,166.83
apache/Inlong,Data Integration Platform,DATA INTEGRATION,,,
meltano/meltano,Data Integration Platform,DATA INTEGRATION,154.8,219.6,98.33
apache/seatunnel,Data Integration Platform,DATA INTEGRATION,672.97,922.7,780.37
estuary/flow,Data Integration Platform,DATA INTEGRATION,132.84,130.85,94.73
dlt-hub/dlt,Data Integration Platform,DATA INTEGRATION,36.94,215.17,421.27
debezium/debezium,CDC Tool,DATA INTEGRATION,445.18,441.2,331.38
apache/kafka,CDC Tool,DATA INTEGRATION,1189.66,1644.91,1686.25
redpanda-data/connect,CDC Tool,DATA INTEGRATION,,,
ververica/flink-cdc-connectors,CDC Tool,DATA INTEGRATION,473.09,441.11,161.07
