repo_id, repo_name
676672661,langchain-ai/langgraph
818331198,pydantic/pydantic-ai
552661142,langchain-ai/langchain
707441527,livekit/agents
659402878,spring-projects/spring-ai
560704231,run-llama/llama_index
607289185,microsoft/semantic-kernel
736272311,pipecat-ai/pipecat
680120071,microsoft/autogen
656264456,langchain4j/langchain4j
968197216,google-gemini/gemini-cli
671269505,BerriAI/litellm
644461337,vercel/ai
589831718,comfyanonymous/ComfyUI
958830659,google/adk-python
881458615,browser-use/browser-use
890668799,modelcontextprotocol/servers
656099147,mem0ai/mem0
626805178,langgenius/dify
193215554,n8n-io/n8n
214587193,supabase/supabase
730534580,infiniflow/ragflow
599320067,langflow-ai/langflow
839037098,mastra-ai/mastra
573661753,activepieces/activepieces
691347156,1Panel-dev/MaxKB
605673387,labring/FastGPT
621803253,FlowiseAI/Flowise
975734319,sst/opencode
824874689,cline/cline
846698999,block/goose
644686905,continuedev/continue
771302083,All-Hands-AI/OpenHands
678526156,marimo-team/marimo
965415649,openai/codex
842586148,yetone/avante.nvim
638629097,Aider-AI/aider
805155266,CherryHQ/cherry-studio
701547123,open-webui/open-webui
643445235,lobehub/lobe-chat
600596928,danny-avila/LibreChat
575865240,AstrBotDevs/AstrBot
291438522,siyuan-note/siyuan
826168160,docling-project/docling
649170660,Mintplex-Labs/anything-llm
712225112,Genesis-Embodied-AI/Genesis
850267588,78/xiaozhi-esp32
488641606,agno-agi/agno
615510678,camel-ai/camel
946380199,openai/openai-agents-python
826170402,elizaOS/eliza
710601088,crewAIInc/crewAI
23496542,triton-lang/triton
634043200,modular/modular
90506918,rapidsai/cudf
539057023,NVIDIA/TransformerEngine
669331976,flashinfer-ai/flashinfer
112542515,NVIDIA/cutlass
724854743,ml-explore/mlx
494232964,Dao-AILab/flash-attention
933928679,deepseek-ai/DeepEP
71932349,ray-project/ray
17165658,apache/spark
158256479,apache/iceberg
391740664,open-metadata/OpenMetadata
46398090,datahub-project/datahub
631431061,apache/gravitino
182849188,delta-io/delta
447060287,apache/paimon
76474200,apache/hudi
33884891,apache/airflow
283046497,airbytehq/airbyte
131619646,dagster-io/dagster
192640529,HumanSignal/label-studio
139156354,cvat-ai/cvat
60377070,vespa-engine/vespa
200722670,NVIDIA/NeMo
235860204,deepspeedai/DeepSpeed
176982014,NVIDIA/Megatron-LM
673412924,modelscope/ms-swift
725205304,unslothai/unsloth
646410686,hiyouga/LLaMA-Factory
658928958,ollama/ollama
942206898,ai-dynamo/dynamo
653496050,xorbitsai/inference
833306239,containers/ramalama
799049436,gpustack/gpustack
599547518,vllm-project/vllm
740303686,sgl-project/sglang
679366051,NVIDIA/TensorRT-LLM
153097643,openvinotoolkit/openvino
612354784,ggml-org/llama.cpp
136202695,mlflow/mlflow
515647260,1Panel-dev/1Panel
642497346,langfuse/langfuse
86031674,wandb/wandb
638951438,comet-ml/opik
564072810,Arize-ai/phoenix
205706595,mlrun/mlrun
633927609,promptfoo/promptfoo
222824662,dagger/dagger
204086862,streamlit/streamlit
162405963,gradio-app/gradio
881221486,volcengine/verl
672415139,OpenRLHF/OpenRLHF
937952934,inclusionAI/AReaL
65600975,pytorch/pytorch
65711522,PaddlePaddle/Paddle
154739597,jax-ml/jax
208728772,milvus-io/milvus
546206616,chroma-core/chroma
55072677,weaviate/weaviate
268163609,qdrant/qdrant
